case_id,sex,age_band,name_origin,province,region,urbanicity,NAME_PATIENT,NAME_DOCTOR,NAME_DOCTOR_2,NAME_RELATIVE,RELATIVE_RELATION,AGE,GENDER,DATE_ENCOUNTER,DATE_VALIDATION,DATE_HISTORY,DOB,INSZ,RIZIV,IBAN,CREDITCARDNUMBER,STREET,ZIPCODE,CITY,TELEFOON,TELEFOON_MOBILE,EMAIL,URL,ORGANIZATION,SPECIALTY,DIAGNOSIS,DX_EPONYM,DX_TEST,DX_ANATOMY,DX_DRUG,DX_DRUG_2,DX_HOMOGRAPH,DX_NUMERIC,DX_ABBREV,DX_CODESWITCH,noise_ops,ambiguous_surname,PATIENT_NOUN_GENERIC,PATIENT_NOUN_MARKED,HONORIFIC,PRONOUN_SUBJ,PRONOUN_POSS,fmt
CASE000092,M,18-34,maghrebi,Vlaams-Brabant,Vlaanderen,rural,Youssef El Amrani,dr. Lode Lambert,dr. Piotr Ionescu,Samira Rahmani,Tante,30-jarige,man,20/05/2026,22 mei 2026,17 mei 2025,°4 aug 1995,95.08.04-505.68,4-55652-54-480,BE17 0950 5587 0600,4203207427617079,Kasteelring 222 bus 15,3200,Aarschot,+32 4 948 56 25,+32 (0)488/97.19.71,youssef.elamrani@proximus.be,https://www.ziekenhuissintjozef.be,Ziekenhuis Sint-Jozef,Neurologie,migraine met aura,syndroom van Cushing,Glasgow Coma Scale 15,lig. Collaterale mediale,Pantomed 40 mg,Injectafer 1000 mg,geel verkleurde sclerae,pH 7.38,PPI,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'intl_paren', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000093,F,18-34,flemish,Oost-Vlaanderen,Vlaanderen,town,Marleen Coppens,dr. Rik Coppens,dr. Tom Van Damme,Jan De Smet,Zoon,27,vrouw,3/5/2026,4 mei 2026,03-03-2019,°1999-03-10,99031033213,2-61245-73-003,BE04502859337581,4610326642147642,Meersdries 138,9100,Sint-Niklaas,+32 89 23 04 50,0490/77.48.11,marleen.coppens@skynet.be,https://www.azrivierenland.be,AZ Rivierenland,Gastro-enterologie,coeliakie,ziekte van Graves,Bristol-schaal type 4,m. Infraspinatus,Progor retard 180 mg,Ventolin aerosol,boomstructuur van de bronchi,100 e/ml 3 ml,tvv,full range of motion,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'd/m/yyyy', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'bare'}"
CASE000094,M,50-64,flemish,West-Vlaanderen,Vlaanderen,urban,Bart Vermeulen,dr. Femke Goossens,dr. Ismail El Fassi,Katrien De Smet,Grootmoeder,56 jaar,man,01-05-2026,01-05-2026,12-08-2015,°7 november 1969,69110713121,8 17555 58 008,BE56 2741 9731 7651,4945232194168000,Bakkerlei 25,8000,Brugge,02 801 72 26,0486903840,bart.vermeulen@gmail.com,https://www.ziekenhuissintjozef.be,Ziekenhuis Sint-Jozef,Cardiologie,boezemfibrilleren,ziekte van Crohn,Snellen 1,M. Subscapularis,Ibuprofen 400 mg,Injectafer 1000 mg,lintvormige stoelgang,T 37.2,antec.,shared decision making,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'plain', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'plain', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000095,F,65-79,flemish,West-Vlaanderen,Vlaanderen,urban,Nele Maes,dr. Kris Jacobs,dr. Patrick Nkosi,Leen Vermeulen,Zus,76-jarige,vrouw,16/05/2026,16 mei 2026,14-06-2022,°04/08/1949,49.08.04-120.69,2-74174-45-006,BE19 7719 7218 6986,4080695814671790,Hoevepark 242B,8000,Brugge,055 67 99 84,+32 485 62 65 75,nele.maes@proximus.be,https://www.uzmariamiddelares.be,UZ Maria Middelares,Gynaecologie,myomateuze uterus,syndroom van Guillain-Barre,Phalen-test,M. Biceps caput longum,Toujeo solostar,Nexiam 20 mg,boomstructuur van de bronchi,100 e/ml 3 ml,i.o.m.,full range of motion,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'intl', 'STREET': 'letter', 'AGE': 'jarige'}"
CASE000096,M,18-34,southern_european,West-Vlaanderen,Vlaanderen,town,Antonio Garcia,dr. Iwona Wisniewski,dr. Amina Alaoui,Carmela Ferrari,Zus,28 jaar,man,22/05/2026,23-05-2026,21/4/2020,°03/07/1997,97 07 03 049 07,1 19011 08 018,BE91 2872 5130 4451,4918081213524781,Marktplein 90 bus 4,8800,Roeselare,+32 4 508 42 89,0496-06 56 58,antonio.garcia@gmail.com,https://www.uzdevoorzorg.be,UZ De Voorzorg,Nefrologie,chronische nierinsufficientie stadium 3,syndroom van Cushing,Humphrey - perimetrie,M. Subscapularis,Ibuprofen 400 mg,Progor retard 180 mg,molaire zwangerschap uitgesloten,1 a 2 /d,ESWT,shared decision making,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'spaced', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'd/m/yyyy', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'bus', 'AGE': 'jaar'}"
CASE000097,F,80-95,flemish,Limburg,Vlaanderen,town,Hilde Maes,dr. Inge Declercq,dr. Adil Rahmani,Tine Vermeulen,Zus,80 jaar,vrouw,29/04/2026,2026-05-01,2016-11-13,°18 okt 1945,45.10.18-150.34,9 07562 67 003,BE21 8878 4544 2030,4975634108562884,Oudesteenweg 174 bus 18,3800,Sint-Truiden,+32 (0)4/668.45.50,0489/78.18.89,hilde.maes@proximus.be,https://www.azmariamiddelares.be,AZ Maria Middelares,Reumatologie,osteoporose,syndroom van Sjogren,Humphrey - perimetrie,V. Saphena magna,Diltiazemzalf 2%,Nexiam 20 mg,beers-teken afwezig,HR: 68,NSAID,Painful arc beiderzijds +,,False,patient,patient,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'yyyy-mm-dd', 'DOB': 'degree', 'TELEFOON': 'intl_paren', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'bus', 'AGE': 'jaar'}"
CASE000098,M,65-79,flemish,West-Vlaanderen,Vlaanderen,rural,Rik Janssens,dr. Sylvie Kabongo,dr. Pieter De Smet,Femke Dubois,Moeder,74 jaar,man,2026-04-21,23-04-2026,28/09/2017,°12-01-1952,52.01.12-359.89,4-13735-67-008,BE55 8618 5786 8972,4776228277288131,Groeneberg 127,8600,Diksmuide,09/273.71.58,+32 (0)490/66.99.50,rik.janssens@gmail.com,https://www.algemeenziekenhuisrivierenland.be,Algemeen Ziekenhuis Rivierenland,Oftalmologie,cataract incipiens bilateraal,syndroom van Guillain-Barre,Snellen 1,M. Subscapularis,Diltiazemzalf 2%,Progor retard 180 mg,geel verkleurde sclerae,-0.25 ^ -0.25 as 165 graden,ivm,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'yyyy-mm-dd', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'intl_paren', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000099,F,50-64,flemish,West-Vlaanderen,Vlaanderen,urban,Hilde De Smet,dr. Wim Mertens,dr. Ayse Celik,Bart Van Damme,Broer,50-jarige,vrouw,21/05/2026,23.05.2026,5 december 2021,°10/04/1976,76 04 10 428 23,6 04550 51 008,BE78 4963 5117 6830,4094818139890986,Abdijberg 244,8000,Brugge,012 99 66 36,0471 85 56 94,hilde.desmet@skynet.be,https://www.znamiddelheim.be,ZNA Middelheim,Gastro-enterologie,anale fissuur,ziekte van Dupuytren,Romberg negatief,V. Saphena magna,Asaflow 80 mg,Glucagen hypokit,beers-teken afwezig,8u,RYGB,SSp testen positief,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd.mm.yyyy', 'DATE_HISTORY': 'text_nl', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000100,M,35-49,central_african,West-Vlaanderen,Vlaanderen,rural,Christian Bope,dr. Lode Peeters,dr. Koen Peeters,Serge Mukendi,Zoon,46-jarige,man,21/05/2026,21/05/2026,6 okt 2019,°17 aug 1979,79.08.17-787.30,19398218006,BE13 7447 7858 1153,4706304891382496,Schoollaan 167,8700,Tielt,011/33.99.37,0489 49 14 34,christian.bope@gmail.com,https://www.azklina.be,AZ Klina,Gastro-enterologie,refluxoesofagitis graad B,syndroom van Guillain-Barre,Humphrey - perimetrie,V. Saphena magna,Lambipol 100 mg,Lyumjev kwikpen,molaire zwangerschap uitgesloten,0.5 mg,NSAID,shared decision making,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000101,F,80-95,flemish,Limburg,Vlaanderen,town,Ann Van Peer,dr. Nele Lambert,dr. Didier Mbala,Katrien De Smet,Grootmoeder,94,vrouw,3/5/2026,05-05-2026,30/05/2024,º27-10-1931,31.10.27 900 78,55294552007,BE64 5566 7262 3827,4180715695620176,Kasteelvest 134,3600,Genk,014/09.70.02,0496/90.62.97,ann.vanpeer@proximus.be,https://www.algemeenziekenhuissintblasius.be,Algemeen Ziekenhuis Sint-Blasius,Gastro-enterologie,refluxoesofagitis graad B,syndroom van Sjogren,Romberg negatief,M. Biceps caput longum,L-thyroxine 50 mcg,Asaflow 80 mg,hamstringletsel links,BMI 20.808,i.o.m.,blurr-test,,True,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'mixed', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'd/m/yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'bare'}"
CASE000102,M,50-64,central_african,Antwerpen,Vlaanderen,rural,Blaise Mbala,dr. Jan Claes,dr. Katarzyna Ionescu,Emmanuel Mwamba,Oom,54-jarige,man,16 april 2026,18/04/2026,5/2019,°18.02.1972,72 02 18 067 46,71673595006,BE18 0719 2340 8261,4687506351903610,Groenepad 117 bus 8,2860,Sint-Katelijne-Waver,056 06 05 66,0495/66.59.63,blaise.mbala@skynet.be,https://www.algemeenziekenhuisgroeninge.be,Algemeen Ziekenhuis Groeninge,Fysische Geneeskunde en revalidatie,laterale epicondylitis rechts,syndroom van Sjogren,Jaeger transfertest,N. Medianus,Nexiam 20 mg,D-cure 25 000 ie,geel verkleurde sclerae,1/d,nle,full range of motion,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'spaced', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'text_nl', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000103,F,50-64,eastern_european,Vlaams-Brabant,Vlaanderen,urban,Katarzyna Dimitrov,dr. Chantal Kabongo,dr. Elif Dogan,Piotr Kowalski,Vader,60-jarige,vrouw,08-05-2026,10/05/2026,27 januari 2025,°04.02.1966,66020482270,5-63385-88-003,BE24 6713 0970 6583,4091939284567972,Bakkersteenweg 53,3000,Leuven,010 76 76 99,0493/86.03.58,katarzyna.dimitrov@skynet.be,https://www.azzeepreventorium.be,AZ Zeepreventorium,Endocrinologie,type 2 diabetes mellitus,syndroom van Sjogren,Jaeger transfertest,M. Biceps caput longum,Atorstatine 20 mg,Lyumjev kwikpen,hamstringletsel links,4.95*,ivm,no evidence of malignancy,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'text_nl', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000104,M,65-79,flemish,Antwerpen,Vlaanderen,town,Wim Van Acker,dr. An Verhoeven,dr. Marc Goossens,Els Vermeulen,Grootmoeder,69-jarige,man,16 mei 2026,16-05-2026,08/2018,°10/9/1956,56.09.10-709.36,5-90106-42-018,BE64639314509227,4739500334234258,Abdijlei 215,2300,Turnhout,016 37 56 36,0470/46.01.09,wim.vanacker@skynet.be,https://www.azonzelievevrouw.be,AZ Onze-Lieve-Vrouw,Neurologie,"epilepsie, in remissie",ziekte van Parkinson,Goldmann applanatie,M. Biceps caput longum,Toujeo solostar,Metformine viatris 500 mg,geel verkleurde sclerae,1/d,PPI,full range of motion,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'text_abbr', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000105,F,65-79,eastern_european,West-Vlaanderen,Vlaanderen,town,Ioana Dimitrov,dr. Amina Benali,dr. Kris Claes,Dimitar Dimitrov,Neef,70,vrouw,18-04-2026,18.04.2026,03-06-2015,°1956-01-10,56011060287,2-98287-85-008,BE72 1666 0001 1006,4749690333736342,Kasteelbaan 28,8800,Roeselare,012/28.68.57,0475/41.91.47,ioana.dimitrov@gmail.com,https://www.jessaziekenhuis.be,Jessa Ziekenhuis,Reumatologie,reumatoide artritis,ziekte van Bechterew,Barthel-index 90,M. Subscapularis,Progor retard 180 mg,Metformine viatris 500 mg,beers-teken afwezig,1/w,PPI,shared decision making,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd.mm.yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'bare'}"
CASE000106,M,50-64,flemish,West-Vlaanderen,Vlaanderen,town,Rik Vermeulen,dr. Tine Lambert,dr. Mireille Lumumba,Tom Wouters,Oom,55,man,6/5/2026,06/05/2026,30 juni 2022,º21 mei 1971,71.05.21-081.39,9-24047-72-008,BE79 2530 8784 5303,4333738987751539,Langedreef 37 bus 5,8800,Roeselare,03-840 44 56,0456 74 96 83,rik.vermeulen@gmail.com,https://www.algemeenziekenhuisdevoorzorg.be,Algemeen Ziekenhuis De Voorzorg,Gastro-enterologie,status na gastric bypass (RYGB),ziekte van Dupuytren,Phalen-test,M. Supraspinatus,Pantomed 40 mg,Pantomed 40 mg,beers-teken afwezig,1/d,i.o.m.,blurr-test,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'd/m/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'text_nl', 'DOB': 'masc_ordinal', 'TELEFOON': 'dashed', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'bus', 'AGE': 'bare'}"
CASE000107,F,18-34,flemish,Limburg,Vlaanderen,rural,Veerle Vermeulen,dr. Meryem El Habti,dr. Marc Mertens,Geert Van den Berghe,Zoon,18 jaar,vrouw,03/05/2026,3 mei 2026,18-10-2019,°30/06/2007,07 06 30 584 92,57346992008,BE69 1850 8406 2952,4632346729949383,Langeplein 17,3900,Pelt,+32 (0)56/05.80.25,0486 50 20 14,veerle.vermeulen@gmail.com,https://www.klinieksintvincentius.be,Kliniek Sint-Vincentius,Oftalmologie,geen diabetische retinopathie,syndroom van Raynaud,Goldmann applanatie,M. Biceps caput longum,Lyumjev kwikpen,Pantomed 40 mg,geel verkleurde sclerae,2cc,PTO,no evidence of malignancy,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'intl_paren', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000108,M,50-64,flemish,Vlaams-Brabant,Vlaanderen,town,Luc De Clercq,dr. Nele Van Acker,dr. Serge Nkosi,Koen De Clercq,Grootvader,57-jarige,man,16 apr 2026,16 apr 2026,28-11-2017,º21/08/1968,68082196979,1-45785-06-007,BE25957286112843,4636004125777116,Schoolpad 150 bus 13,1500,Halle,02/856.72.43,+32 487 03 09 81,luc.declercq@skynet.be,https://www.kliniekdamiaan.be,Kliniek Damiaan,Neurologie,perifere polyneuropathie,syndroom van Cushing,Romberg negatief,M. Subscapularis,Injectafer 1000 mg,Metformine viatris 500 mg,peervormige galblaas,8u,RYGB,no evidence of malignancy,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'text_abbr', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'intl', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000109,F,35-49,turkish,Vlaams-Brabant,Vlaanderen,town,Ayse Kaya,dr. Kris Janssens,dr. Angelo Rossi,Elif Arslan,Grootmoeder,43-jarige,vrouw,30 april 2026,30/4/2026,27/01/2019,º14/03/1983,83.03.14-786.73,3-11537-27-007,BE93 9980 4149 9408,4331552065063739,Eikenkaai 47,1800,Vilvoorde,015 20 68 15,0493-24 79 26,ayse.kaya@telenet.be,https://www.azalma.be,AZ Alma,Pneumologie,obstructief slaapapneusyndroom,ziekte van Hashimoto,Schirmer-test,N. Medianus,Atorstatine 20 mg,D-cure 25 000 ie,boomstructuur van de bronchi,3x,OD,shared decision making,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'text_nl', 'DATE_VALIDATION': 'd/m/yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000110,M,80-95,maghrebi,Antwerpen,Vlaanderen,rural,Rachid Bennani,dr. Lieve Dubois,dr. Lore Maes,Nabil Idrissi,Grootvader,83-jarige,man,26/04/2026,28/04/2026,14/06/2017,º31.08.1942,42.08.31-239.60,1-22243-74-004,BE47 2590 2453 2514,4803396852701716,Bakkerbaan 41,2400,Mol,052245086,+32 (0)479/96.03.29,rachid.bennani@skynet.be,https://www.jessaziekenhuis.be,Jessa Ziekenhuis,Neurologie,perifere polyneuropathie,ziekte van Von Willebrand,Bristol-schaal type 4,M. Subscapularis,Lambipol 100 mg,Lyumjev kwikpen,geel verkleurde sclerae,8u,z.n.,shared decision making,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'intl_paren', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000111,F,18-34,flemish,Limburg,Vlaanderen,rural,Ann Goossens,dr. Jonas De Smet,dr. Stijn Van Damme,Geert Van den Berghe,Zoon,34,vrouw,28/04/2026,2026-04-29,13/01/2021,°10-10-1991,91 10 10 160 66,9 59416 11 480,BE19 8376 0371 0648,4567491601692369,Smidhof 43B,3630,Maasmechelen,09 152 73 23,0489/93.92.47,ann.goossens@proximus.be,https://www.klinieknikolaas.be,Kliniek Nikolaas,Fysische Geneeskunde en revalidatie,bekkenbodemhypertonie,ziekte van Dupuytren,teken van Tinel,V. Saphena magna,Injectafer 1000 mg,Ibuprofen 400 mg,molaire zwangerschap uitgesloten,T 37.2,PRP,watchful waiting,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'letter', 'AGE': 'bare'}"
CASE000112,M,50-64,flemish,West-Vlaanderen,Vlaanderen,urban,Jan Declercq,dr. Lieve Wouters,dr. Jan Jacobs,Nele Van den Berghe,Nicht,53-jarige,man,23/05/2026,25-05-2026,22 augustus 2015,º24/05/1973,73 05 24 259 07,8 25443 27 008,BE89723844587932,4223728179323026,Smidlei 211,8000,Brugge,+32 9 402 70 11,0486 67 53 83,jan.declercq@skynet.be,https://www.azturnhout.be,AZ Turnhout,NKO,chronische rhinosinusitis,syndroom van Raynaud,Phalen-test,lig. Collaterale mediale,Ibuprofen 400 mg,Trianal suppo,geel verkleurde sclerae,FEV1/FVC 73.17,NSAID,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'spaced', 'RIZIV': 'spaced', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'text_nl', 'DOB': 'masc_ordinal', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000113,F,35-49,flemish,Oost-Vlaanderen,Vlaanderen,rural,Leen Jacobs,dr. An Coppens,dr. Emre Sahin,Nele Van Acker,Moeder,39,vrouw,11-05-2026,12/05/2026,03-07-2020,°1987-05-23,87.05.23-380.16,8-14982-12-018,BE65 3478 8996 7854,4505057397691561,Eikenwal 205 bus 1,9600,Ronse,014/09.18.43,0492/87.84.60,leen.jacobs@gmail.com,https://www.algemeenziekenhuisheilighart.be,Algemeen Ziekenhuis Heilig Hart,Gynaecologie,endometriose,ziekte van Hashimoto,Humphrey - perimetrie,A. Radialis,Nexiam 20 mg,Trianal suppo,boomstructuur van de bronchi,T 37.2,PPI,shared decision making,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'bus', 'AGE': 'bare'}"
CASE000114,M,50-64,maghrebi,Antwerpen,Vlaanderen,town,Ismail El Habti,dr. Nadine Kalala,dr. Ioana Popescu,Amina Benali,Nicht,63,man,27 mei 2026,2026-05-27,12/3/2022,°28-05-1963,63.05.28-737.72,37014309480,BE97987634188819,4952569040983664,Korteweg 252,2200,Herentals,054 86 33 41,0473114394,ismail.elhabti@proximus.be,https://www.ziekenhuissintrembert.be,Ziekenhuis Sint-Rembert,Reumatologie,osteoporose,ziekte van Dupuytren,teken van Tinel,M. Subscapularis,Ventolin aerosol,Paracetamol 1 g,boomstructuur van de bronchi,3x/week,antec.,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'text_abbr', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'd/m/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'plain', 'STREET': 'plain', 'AGE': 'bare'}"
CASE000115,F,50-64,central_african,Antwerpen,Vlaanderen,rural,Josiane Ilunga,dr. Marc Van Acker,dr. Stijn Coppens,Blaise Mukendi,Broer,52,vrouw,25/05/2026,26/05/2026,20-02-2024,°10-01-1974,74.01.10-830.43,3 36004 04 003,BE19953152705204,4472927742333052,Veldpark 201,2860,Sint-Katelijne-Waver,09/618.44.38,+32 (0)474/41.96.74,josiane.ilunga@telenet.be,https://www.uzrivierenland.be,UZ Rivierenland,Endocrinologie,type 2 diabetes mellitus,ziekte van Hashimoto,Jaeger transfertest,A. Radialis,Depakine chrono 500 mg,Paracetamol 1 g,peervormige galblaas,2/d,ESWT,SSp testen positief,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'spaced', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'intl_paren', 'STREET': 'plain', 'AGE': 'bare'}"
